"","county","name","surv_year","collection_date","week","month","trap_nights","trap","trap_problem_bit","num_trap","sex","collection_type","latitude","longitude","collection_latitude","collection_longitude","closest_latitude","closest_longitude","Station_Distance","MaxTemp1DayPrior","MaxTemp2DayPrior","MaxTemp3DayPrior","MaxTemp1WeekPrior","MaxTemp2WeekPrior","MaxTemp3WeekPrior","MaxTemp1MonthPrior","MaxTemp2MonthPrior","MaxTemp3MonthPrior","MaxTemp1QuarterPrior","MaxTemp2QuarterPrior","MaxTemp3QuarterPrior","MinTemp1DayPrior","MinTemp2DayPrior","MinTemp3DayPrior","MinTemp1WeekPrior","MinTemp2WeekPrior","MinTemp3WeekPrior","MinTemp1MonthPrior","MinTemp2MonthPrior","MinTemp3MonthPrior","MinTemp1QuarterPrior","MinTemp2QuarterPrior","MinTemp3QuarterPrior","Precip1DayPrior_log","Precip2DayPrior_log","Precip3DayPrior_log","Precip1WeekPrior_log","Precip2WeekPrior_log","Precip3WeekPrior_log","Precip1MonthPrior_log","Precip2MonthPrior_log","Precip3MonthPrior_log","Precip1QuarterPrior_log","Precip2QuarterPrior","Precip3QuarterPrior","DiurnalTemp1DayPrior","DiurnalTemp2DayPrior","DiurnalTemp3DayPrior","DiurnalTemp1WeekPrior","DiurnalTemp2WeekPrior","DiurnalTemp3WeekPrior","DiurnalTemp1MonthPrior","DiurnalTemp2MonthPrior","DiurnalTemp3MonthPrior","DiurnalTemp1QuarterPrior","DiurnalTemp2QuarterPrior","DiurnalTemp3QuarterPrior","MeanTemp1DayPrior","MeanTemp2DayPrior","MeanTemp3DayPrior","MeanTemp1WeekPrior","MeanTemp2WeekPrior","MeanTemp3WeekPrior","MeanTemp1MonthPrior","MeanTemp2MonthPrior","MeanTemp3MonthPrior","MeanTemp1QuarterPrior","MeanTemp2QuarterPrior","MeanTemp3QuarterPrior","propforest100_log","propdeciduous100_log","propevergreen100_log","propmixedforest100_log","propwetlands100_log","proplowdeveloped100","propdeveloped100","propshrub100_log","propherby100_log","propforest1000_log","propwetlands1000_log","propdeciduous1000_log","propevergreen1000_log","propmixedforest1000_log","proplowdeveloped1000","propdeveloped1000","propshrub1000_log","propherby1000_log","AedesAegypti","AedesAlbopictus","AedesSierrensis","AedesVexans","AnophelesFreeborni","CulexQuinquefasciatus","CulexTarsalis","CulisetaIncidens","CulisetaInornata"
"374223","LosAngeles","San Gabriel Valley MVCD",2020,"2020-11-03",44,11,1,"Gravid trap",FALSE,1,"Females - Mixed","abundance",34.04056,242.255,34.04056,-117.745,34.25,242.25,0.2094997,24.55498,27.10435,28.06982,25.26863,20.02741,30.59637,25.89783,32.57758,33.3636,30.613,28.16845,17.03668,12.93602,10.07774,8.140218,8.751844,12.47406,15.58632,13.11683,16.79015,19.41298,16.43998,14.86751,6.734078,0,0,0,0,0,0,0,0,1.50220520086627,1.50220520086627,4.332918,251.0835,11.61896,17.02662,19.9296,16.51679,7.553347,15.01004,12.78101,15.78743,13.95062,14.17302,13.30094,10.3026,18.7455,18.59105,18.10502,17.01024,16.25074,23.09134,19.50733,24.68386,26.38829,23.52649,21.51798,11.88538,0,0,0,0,0,0.513513513513514,0.405405405405405,0.0779615414697119,0,0,0,0,0,0,0.445555873106602,0.505287224921406,0.0353770749210871,0.010518931389846,0,0,0,0,0,1,0,0,0
"180034","Kern","Kern MVCD",2016,"2016-09-20",38,9,1,"Carbon dioxide baited trap",FALSE,1,"Females - Mixed","abundance",35.73486,240.5097,35.73486,-119.4903,35.75,240.75,0.2407366,39.59189,38.10798,34.34984,32.16603,34.77907,32.78621,33.76334,38.35883,36.79183,36.30467,28.97529,18.02678,17.15825,17.27017,15.74297,13.8302,16.83683,15.81517,16.09328,19.54688,18.29302,17.97773,12.6572,5.029178,0,0,0,0,0,0,0.0475660056692588,0,0,0.0475660056692588,27.62876,100.5731,22.43364,20.83781,18.60686,18.33584,17.94224,16.97104,17.67006,18.81196,18.49881,18.32694,16.31809,12.99761,28.37507,27.68907,25.04641,22.99811,25.80795,24.30069,24.92831,28.95286,27.54242,27.1412,20.81624,11.52798,0,0,0,0,0,0.166666666666667,0.305555555555556,0,0.0273989741881146,0,0.00314690575819276,0,0,0,0.0289398280802292,0.0103151862464183,0,0.192063822276015,0,0,0,0,0,1,1,0,0
"259313","LosAngeles","Los Angeles West Vector and Vector-borne Disease Control District",2018,"2018-08-14",33,8,1,"Carbon dioxide baited trap",FALSE,1,"Females - Mixed","abundance",33.96528,241.5633,33.96528,-118.4367,33.75,241.75,0.2849603,28.97181,29.25973,30.93402,32.12158,30.90898,29.96753,30.34248,26.71646,22.91363,26.65752,20.7979,23.52128,20.50514,21.59758,23.39032,21.96684,21.34134,21.18313,21.3042,18.83816,15.59804,18.58013,12.01649,11.16175,0,0,0.111972140616168,0.151493380905133,0,0,0.151493380905133,0,0.282114100023303,0.398440895990857,54.60208,36.80928,8.466669,7.662144,7.543705,10.15474,9.567642,8.784406,9.038281,7.8783,7.315591,8.07739,8.781405,12.35953,24.73847,25.42865,27.16217,27.04421,26.12516,25.57533,25.82334,22.77731,19.25583,22.61883,16.4072,17.34151,0,0,0,0,0.356674943938733,0.428571428571429,0.142857142857143,0,0,0.00285959588630433,0.22084997232711,0,0.00285959588630433,0,0.156930126002291,0.419530355097365,0.0486265114401575,0.0461685011898884,0,0,0,0,0,1,0,0,0
"367687","Riverside","Northwest Mosquito and Vector Control",2020,"2020-09-29",39,9,1,"BG Sentinel",FALSE,1,"Females - Mixed","abundance",33.90819,242.5741,33.90819,-117.4259,33.75,242.75,0.2365459,36.68073,31.12463,30.39678,32.5096,35.03095,32.23789,33.95276,35.31989,32.90266,34.05844,26.05693,18.95166,14.08291,14.09406,12.86863,13.62697,14.85395,13.85614,15.0454,18.73416,15.52058,16.43338,11.89303,4.63773,0,0,0,0,0,0,0,0.107498239098019,0,0.107498239098019,93.54271,118.4378,22.59781,17.03057,17.52814,18.88263,20.177,18.38175,18.90736,16.58573,17.38208,17.62506,14.16389,14.31393,25.38182,22.60935,21.63271,23.06828,24.94245,23.04702,24.49908,27.02703,24.21162,25.24591,18.97498,11.79469,0,0,0,0,0,0.5833333,0.02777778,0,0.054067225480802,0,0.000573558983594452,0,0,0,0.5292599,0.2266208,0.0040080211415388,0.0498005012260635,1,0,0,0,0,1,0,0,0
"104914","SantaClara","Santa Clara County VCD",2014,"2014-07-17",29,7,1,"Carbon dioxide baited trap",FALSE,1,"Females - Mixed","abundance",37.34481,237.9687,37.34481,-122.0313,37.25,237.75,0.2383666,24.99249,25.29519,26.01325,23.53052,23.56276,24.51771,23.54794,22.36893,21.87781,22.59823,18.39087,17.05642,16.85826,15.28889,15.85986,14.96903,13.26715,14.3154,13.49844,11.94262,10.69596,12.04567,8.338435,5.261742,0,0,0,0.103859349471468,0,0.0389733748753834,0.850705049321062,0.469956753147068,2.56301209756937,2.70243915525273,337.1864,49.19173,8.134239,10.00629,10.15339,8.561487,10.29561,10.20231,10.0495,10.42631,11.18185,10.55255,10.05243,11.79468,20.92537,20.29204,20.93656,19.24977,18.41495,19.41656,18.52319,17.15577,16.28689,17.32195,13.36465,11.15908,0,0,0,0,0,0.21875,0.78125,0,0,0,0,0,0,0,0.233706574791846,0.752512202124605,0,0,0,0,0,0,0,0,1,0,0
"157394","Orange","Orange County Mosquito and Vector Control District",2016,"2016-05-18",20,5,1,"Gravid trap",FALSE,1,"Females - Mixed","abundance",33.74818,242.0052,33.74818,-117.9948,33.75,242.25,0.2448138,23.09808,20.78428,21.01374,23.24051,20.66775,22.20538,23.08835,22.74935,22.17446,22.67072,20.06821,28.41087,15.69095,14.66005,15.29593,14.67793,12.72267,11.63999,12.65214,11.08034,9.931246,11.22124,7.022288,16.30023,0,0,0,0,2.33214321562371,0.592815167431624,2.44673651791423,2.10723288482713,3.819436333507,4.14874688523425,109.5953,47.47612,7.407131,6.124226,5.717813,8.562578,7.945078,10.56538,10.43621,11.66901,12.24321,11.44948,13.04592,12.11064,19.39451,17.72217,18.15483,18.95922,16.69521,16.92269,17.87024,16.91484,16.05285,16.94598,13.54525,22.35555,0,0,0,0,0,0.742857142857143,0.0857142857142857,0.133531392624523,0.0281708769666964,0,0,0,0,0,0.203491700057241,0.77819118488838,0.0048536854744303,0.0133619614179018,0,0,0,0,0,1,0,1,0
"373057","LosAngeles","Greater LA County VCD",2020,"2020-10-23",43,10,1,"Gravid trap",FALSE,1,"Females - Unfed","abundance",34.29295,241.5641,34.29295,-118.4359,34.25,241.75,0.1908375,21.77095,24.19008,26.27717,27.16806,29.3224,31.41293,30.3634,31.85732,32.49,31.57024,27.45339,18.48342,15.29147,14.67579,14.53825,15.34812,15.56761,16.33545,16.09069,17.39896,19.12253,17.53739,15.53567,8.110022,0,0,0,0,0,0,0,0.0235034472769006,0.198358524453771,0.217673658690575,7.974767,236.9282,6.479472,9.514291,11.73893,11.81994,13.75479,15.07749,14.27271,14.45836,13.36747,14.03285,11.91772,10.3734,18.53121,19.43293,20.40771,21.25809,22.445,23.87419,23.22704,24.62814,25.80626,24.55382,21.49453,13.29672,0,0,0,0,0,0.5882353,0.4117647,0,0,0,0,0,0,0,0.2592486,0.7407514,0,0,1,0,0,0,0,1,0,0,0
"337262","Kern","Kern MVCD",2020,"2020-05-20",21,5,1,"Carbon dioxide baited trap",FALSE,1,"Females - Mixed","abundance",35.37046,240.8577,35.37046,-119.1423,35.25,240.75,0.1615968,21.19643,22.82998,28.89149,24.73826,30.12563,27.90344,27.49595,19.11061,20.74468,22.45042,16.02803,28.09551,10.33828,13.63567,13.02165,12.21354,14.99045,13.13918,13.68496,8.521147,8.042773,10.08296,4.341224,12.74354,0.930379418601252,0.0252231547548144,0,0.940403664287311,0,0,0.940403664287311,4.27344050564761,3.43463473672637,4.63811354541083,73.56595,8.597642,10.85816,9.194313,15.86984,12.52472,15.13518,14.76425,13.81099,10.58946,12.70191,12.36745,11.6868,15.35197,15.76735,18.23282,20.95657,18.4759,22.55804,20.52131,20.59046,13.81588,14.39373,16.26669,10.18463,20.41952,0,0,0,0,0,0.2285714,0.7714286,0,0,0,0,0,0,0,0.1961065,0.7489264,0.00314420679710992,0.00599402389240166,1,0,0,0,0,1,1,1,0
"256308","Yuba","Sutter-Yuba MVCD",2018,"2018-07-31",31,7,1,"Carbon dioxide baited trap",FALSE,1,"Females - Mixed","abundance",39.1647,238.4364,39.1647,-121.5636,39.25,238.25,0.2049831,35.09066,34.12814,35.65355,36.65847,37.02617,36.15555,35.71165,32.81532,27.33459,31.95386,19.21162,15.19477,18.45926,18.87581,18.3976,19.11276,19.58011,18.59791,18.25326,14.63542,11.94887,14.94585,5.650745,5.132672,0,0,0,0,0,0,0,0,1.61223659247307,1.61223659247307,209.2742,189.9878,16.6314,15.25232,17.25595,17.54571,17.44606,17.55764,17.45839,18.1799,15.38573,17.00801,13.56087,10.0621,26.77496,26.50198,27.02558,27.88561,28.30314,27.37673,26.98246,23.72537,19.64173,23.44985,12.43118,10.16372,0,0,0,0,0,0.34375,0.4375,0,0,0,0.0139623296850175,0,0,0,0.101578192252511,0.249067431850789,0,0.00572247627406632,0,0,0,0,1,0,1,0,0
"263077","Yolo","Sacramento-Yolo MVCD",2018,"2018-08-28",35,8,1,"Carbon dioxide baited trap",FALSE,1,"Females - Mixed","abundance",38.53981,238.3147,38.53981,-121.6853,38.75,238.25,0.2199221,26.79087,29.39981,30.8072,28.18312,33.68193,34.90025,32.76697,35.28714,31.34055,33.13155,22.11437,15.70533,12.25624,12.05433,11.57415,12.43014,14.16838,15.19461,14.11764,15.69161,12.9461,14.25178,8.124117,2.835162,0,0,0,0,0,0,0,0.175652618777723,0,0.175652618777723,183.9275,127.8061,14.53464,17.34549,19.23306,15.75298,19.51355,19.70564,18.64933,19.59553,18.39444,18.87977,13.99026,12.87016,19.52356,20.72707,21.19067,20.30663,23.92516,25.04743,23.44231,25.48938,22.14332,23.69167,15.11924,9.270245,0,0,0,0,0,0.444444444444444,0.0277777777777778,0,0,0,0,0,0,0,0.432339449541284,0.0711009174311927,0,0,0,0,0,0,1,0,1,0,0
"278633","Riverside","Coachella Valley MVCD",2019,"2019-03-26",13,3,1,"Carbon dioxide baited trap",FALSE,1,"Females - Unfed","abundance",33.48105,243.9047,33.48105,-116.0953,33.25,243.75,0.2780579,26.21793,24.40592,22.96369,23.01259,22.05141,18.41358,21.03975,16.44925,16.27335,17.92078,23.89111,37.32063,6.05983,9.131814,10.55384,8.558808,7.860451,6.840832,7.443788,3.702607,3.407759,4.851385,8.864828,20.55007,0,0,0,1.51702104296773,2.07733444831699,1.88450423997059,3.17683892598375,4.93868806278287,4.00853373700898,5.37816267012328,66.61784,7.381381,20.1581,15.27411,12.40984,14.45378,14.19096,11.57275,13.59596,12.74664,12.86559,13.0694,15.02628,16.77056,16.13888,16.76887,16.75876,15.7857,14.95593,12.62721,14.24177,10.07593,9.840553,11.38608,16.37797,28.93535,0,0,0,0,0,0.03125,0,0.677398823591806,0,0,0.0136754267996755,0,0,0,0.0691336775674125,0.0249569707401033,0.30453580471327,0,0,0,0,0,0,0,1,0,0
"173969","LosAngeles","Greater LA County VCD",2016,"2016-08-12",33,8,1,"Carbon dioxide baited trap",FALSE,1,"Females - Unfed","abundance",34.12,241.8797,34.12,-118.1203,34.25,241.75,0.1836513,29.79772,30.00613,28.91104,29.49109,32.48459,36.05759,32.66798,30.26491,23.90383,28.94557,22.01837,17.5932,17.24699,17.46316,18.96594,17.82781,20.10295,21.56578,19.22595,17.37795,13.61965,16.74118,9.814038,5.450681,0,0,0,0,0,0,0,0.135392497194525,0.460037317639876,0.547612145909523,86.19516,122.1456,12.55072,12.54297,9.945107,11.66328,12.38164,14.49182,13.44203,12.88696,10.28419,12.20439,12.20433,12.14252,23.52235,23.73464,23.93849,23.65945,26.29377,28.81169,25.94696,23.82143,18.76174,22.84338,15.9162,11.52194,0.105360515657826,0,0.0273989741881146,0.0800427076735364,0,0.583333333333333,0.138888888888889,0,0,0.0373796503292822,0,0,0.0229309410639169,0.0147813947654787,0.856815578465063,0.0824742268041237,0.0102565001671891,0,0,0,0,0,0,1,0,1,0
"265508","Yolo","Sacramento-Yolo MVCD",2018,"2018-09-07",36,9,1,"Carbon dioxide baited trap",FALSE,1,"Females - Mixed","abundance",38.61924,238.1699,38.61924,-121.8301,38.75,238.25,0.1533416,31.36508,30.07751,31.95133,31.78663,27.7578,32.05908,31.60003,35.34102,32.54963,33.16356,23.64196,15.68538,11.39754,13.49126,13.15628,12.99259,12.58168,13.73573,13.60106,15.62918,13.83632,14.35552,8.967334,3.147406,0,0,0,0,0,0,0,0.175652618777723,0,0.175652618777723,132.6771,178.894,19.96755,16.58625,18.79505,18.79405,15.17611,18.32335,17.99897,19.71184,18.71331,18.80804,14.67463,12.53797,21.38131,21.78438,22.5538,22.38961,20.16974,22.89741,22.60054,25.4851,23.19298,23.75954,16.30465,9.416392,0,0,0,0,0,0.21875,0,0,0,0,0,0,0,0,0.0401836969001148,0.0034443168771527,0,0,0,0,0,0,1,0,1,0,0
