county,name,site_name,surv_year,collection_date,trap_nights,trap,trap_problem_bit,num_trap,sex,num_count,collection_type,site_code,site_latitude,site_longitude,collection_latitude,collection_longitude
Alameda,Alameda County VCSD,Adams Street,2017,5/23/17,1,Carbon dioxide baited trap,FALSE,1,Females - Unfed,3,abundance,5,37.898056,-122.303333,37.898056,-122.303333
Alameda,Alameda County VCSD,Adams Street,2019,8/6/19,1,Carbon dioxide baited trap,FALSE,1,Females - Bloodfed,1,abundance,5,37.898056,-122.303333,37.898056,-122.303333
Alameda,Alameda County VCSD,Adams Street,2020,5/13/20,1,Carbon dioxide baited trap,FALSE,1,Females - Unfed,1,abundance,5,37.898056,-122.303333,37.898056,-122.303333
Alameda,Alameda County MAD,Aedes #1,2020,7/14/20,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,1,abundance,281499,37.682957,-121.930195,37.682957,-121.930195
Alameda,Alameda County MAD,Alameda County MAD,2016,5/6/16,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,1,abundance,0,37.643355,-122.129636,37.672647,-122.064594
Alameda,Alameda County MAD,Alameda Creek Horse Stable East,2018,6/21/18,1,Mosquito magnet trap,FALSE,1,Females - Mixed,9,abundance,718477,37.56532,-122.07386,37.56532,-122.07386
Alameda,Alameda County MAD,Alameda Creek Horse Stable East,2018,6/26/18,1,Mosquito magnet trap,FALSE,1,Females - Mixed,1,abundance,718477,37.56532,-122.07386,37.56532,-122.07386
Alameda,Alameda County MAD,Alamo Creek Park,2017,4/11/17,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,5,abundance,105,37.72382,-121.91094,37.72382,-121.91094
Alameda,Alameda County MAD,All Saints Cemetery - South,2018,5/2/18,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,13,abundance,192268,37.66664,-122.075793,37.66664,-122.075793
Alameda,Alameda County MAD,Alvarado St - San Leandro Creek,2019,4/23/19,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,4,abundance,844458,37.72666,-122.16757,37.72666,-122.16757
Alameda,Alameda County MAD,Amaral Court,2015,6/3/15,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,1,abundance,7006,37.60424,-122.061205,37.60424,-122.061205
Alameda,Alameda County MAD,Arroyo Del Val at Valley Avenue,2018,5/17/18,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,8,abundance,9148,37.66509,-121.89765,37.665094,-121.897656
Alameda,Alameda County MAD,Arroyo Viejo @ 83rd Ave,2017,6/23/17,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,1,abundance,118,37.76087,-122.16653,37.76087,-122.16653
Alameda,Alameda County MAD,Bernal Bridge,2019,6/11/19,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,2,abundance,484895,37.66619,-121.85521,37.66619,-121.85521
Alameda,Alameda County MAD,Bonzai Park,2015,8/4/15,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,1,abundance,1013,37.806308,-122.257305,37.806308,-122.257305
Alameda,Alameda County MAD,Bonzai Park,2016,4/13/16,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,1,abundance,1013,37.806308,-122.257305,37.806308,-122.257305
Alameda,Alameda County MAD,Bonzai Park,2017,4/20/17,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,1,abundance,1013,37.806308,-122.257305,37.806308,-122.257305
Alameda,Alameda County MAD,Briar Ridge,2018,6/15/18,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,1,abundance,716593,37.714264,-122.052328,37.714264,-122.052328
Alameda,Alameda County MAD,Bruno Canziani Park,2019,4/24/19,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,1,abundance,100068,37.6737,-121.72545,37.673707,-121.72545
Alameda,Alameda County MAD,Casa Verde Pits,2017,4/26/17,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,17,abundance,7071,37.59666,-122.06076,37.595556,-122.060556
Alameda,Alameda County MAD,Casa Verde Pits,2019,4/23/19,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,2,abundance,7071,37.59666,-122.06076,37.59666,-122.06076
Alameda,Alameda County MAD,Casa Verde Pits,2019,6/4/19,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,22,abundance,7071,37.59666,-122.06076,37.59666,-122.06076
Alameda,Alameda County MAD,Casa Verde Pits,2020,4/22/20,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,3,abundance,7071,37.59666,-122.06076,37.59666,-122.06076
Alameda,Alameda County MAD,Casa Verde Pits,2020,4/8/20,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,1,abundance,7071,37.59666,-122.06076,37.59666,-122.06076
Alameda,Alameda County MAD,Casa Verde Pits,2020,5/12/20,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,16,abundance,399864,37.59666,-122.06076,37.59666,-122.06076
Alameda,Alameda County MAD,Casa Verde Pits,2020,6/25/20,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,1,abundance,7071,37.59666,-122.06076,37.59666,-122.06076
Alameda,Alameda County MAD,Chabot DG - San Leandro Creek,2018,9/28/18,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,1,abundance,864722,37.730814,-122.131488,37.730814,-122.131488
Alameda,Alameda County MAD,Chabot DG -San Leandro Creek,2018,5/24/18,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,1,abundance,122,37.73095,-122.13112,37.73095,-122.13112
Alameda,Alameda County MAD,CO2 for NJLT #13,2018,5/28/18,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,1,abundance,3019,37.58792,-122.04584,37.58792,-122.04584
Alameda,Alameda County VCSD,Codornices Creek at G.G.F. sign,2006,5/12/06,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,5,abundance,10,37.882209,-122.308706,37.882209,-122.308706
Alameda,Alameda County VCSD,Codornices Creek at G.G.F. sign,2006,6/20/06,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,5,abundance,10,37.882209,-122.308706,37.882209,-122.308706
Alameda,Alameda County VCSD,Codornices Creek at G.G.F. sign,2006,7/18/06,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,1,abundance,10,37.882209,-122.308706,37.882209,-122.308706
Alameda,Alameda County VCSD,Codornices Creek at G.G.F. sign,2007,6/5/07,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,5,abundance,10,37.882209,-122.308706,37.882209,-122.308706
Alameda,Alameda County VCSD,Codornices Creek at G.G.F. sign,2008,5/13/08,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,1,abundance,10,37.882209,-122.308706,37.882209,-122.308706
Alameda,Alameda County VCSD,Codornices Creek at G.G.F. sign,2019,6/11/19,1,Carbon dioxide baited trap,FALSE,1,Females - Unfed,2,abundance,10,37.882209,-122.308706,37.882209,-122.308706
Alameda,Alameda County MAD,Coyote Hills Front Marsh,2017,6/14/17,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,2,abundance,33,37.55528,-122.07814,37.55512,-122.07803
Alameda,Alameda County MAD,Cull Canyon Creek,2018,5/2/18,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,3,abundance,130,37.70674,-122.0551,37.70674,-122.0551
Alameda,Alameda County MAD,Cull Canyon Creek,2019,4/23/19,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,10,abundance,130,37.70674,-122.0551,37.70674,-122.0551
Alameda,Alameda County MAD,Don Castro Reservoir Pits,2018,5/24/18,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,2,abundance,93,37.69093,-122.04748,37.69093,-122.04748
Alameda,Alameda County MAD,Dublin Cemetery,2018,5/18/18,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,3,abundance,3,37.69971,-121.93845,37.700609,-121.938564
Alameda,Alameda County MAD,Dublin Cemetery,2019,5/9/19,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,1,abundance,3,37.69971,-121.93845,37.700609,-121.938564
Alameda,Alameda County VCSD,Fillmore Street,2017,4/13/17,1,Carbon dioxide baited trap,FALSE,1,Females - Unfed,1,abundance,1,37.888264,-122.304972,37.888264,-122.304972
Alameda,Alameda County MAD,Haas Ave,2017,6/23/17,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,3,abundance,119,37.731,-122.14826,37.731,-122.14826
Alameda,Alameda County MAD,Haas Ave,2019,4/23/19,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,1,abundance,119,37.731,-122.14826,37.731,-122.14826
Alameda,Alameda County MAD,Jewish Site- Mountain View Cemetery,2016,5/31/16,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,2,abundance,1012,37.833782,-122.242616,37.833782,-122.242616
Alameda,Alameda County VCSD,Key Route,2016,8/9/16,1,Carbon dioxide baited trap,FALSE,1,Females - Unfed,1,abundance,7,37.891111,-122.293056,37.891111,-122.293056
Alameda,Alameda County MAD,Lake Temescal,2018,7/6/18,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,1,abundance,2034,37.84463,-122.22876,37.84463,-122.22876
Alameda,Alameda County MAD,Laurel Creek,2017,4/11/17,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,2,abundance,102,37.69113,-121.93202,37.69113,-121.93202
Alameda,Alameda County MAD,Leona Trout Ponds,2017,6/16/17,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,4,abundance,2033,37.79226,-122.18196,37.79226,-122.18196
Alameda,Alameda County MAD,Leona Trout Ponds,2018,5/23/18,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,4,abundance,2033,37.79226,-122.18196,37.79226,-122.18196
Alameda,Alameda County MAD,Livermore Sewer,2018,5/16/18,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,1,abundance,28,37.68985,-121.80801,37.689722,-121.807222
Alameda,Alameda County MAD,Lone Tree Cemetery,2018,5/24/18,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,1,abundance,91,37.67401,-122.04838,37.67401,-122.04838
Alameda,Alameda County MAD,Lone Tree Cemetery,2018,9/18/18,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,1,abundance,547218,37.67368,-122.05011,37.67368,-122.05011
Alameda,Alameda County MAD,Martin Canyon Creek at Mape Park,2018,5/18/18,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,1,abundance,108,37.70625,-121.93932,37.70625,-121.93932
Alameda,Alameda County MAD,Martin Canyon Creek at Mape Park,2019,4/12/19,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,1,abundance,108,37.70625,-121.93932,37.70625,-121.93932
Alameda,Alameda County MAD,Max Baer Park,2018,11/6/18,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,1,abundance,100083,37.66235,-121.79708,37.66235,-121.79708
Alameda,Alameda County MAD,Memorial Park Albany,2020,6/9/20,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,1,abundance,843481,37.89578,-122.29105,37.89578,-122.29105
Alameda,Alameda County MAD,Mission Adobe Nursery,2018,4/30/18,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,1,abundance,7008,37.57901,-121.99121,37.579096,-121.991413
Alameda,Alameda County MAD,MMT @ Ardenwood,2019,9/6/19,1,Mosquito magnet trap,FALSE,1,Females - Mixed,125,abundance,843494,37.55325,-122.05439,37.55325,-122.05439
Alameda,Alameda County MAD,Mocho Park,2019,5/7/19,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,1,abundance,100074,37.67402,-121.78126,37.674024,-121.781262
Alameda,Alameda County MAD,Morcom Amphitheater,2019,5/10/19,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,5,abundance,1008,37.820669,-122.247494,37.820669,-122.247494
Alameda,Alameda County MAD,Morcom Amphitheater,2019,5/14/19,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,3,abundance,1008,37.820669,-122.247494,37.820669,-122.247494
Alameda,Alameda County MAD,Morcom Amphitheater,2019,6/20/19,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,1,abundance,1008,37.820669,-122.247494,37.820669,-122.247494
Alameda,Alameda County MAD,Morcom Amphitheater,2020,5/5/20,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,2,abundance,1008,37.820669,-122.247494,37.820669,-122.247494
Alameda,Alameda County MAD,Mountain View Cemetery South,2019,5/14/19,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,4,abundance,783558,37.833775,-122.242474,37.833775,-122.242474
Alameda,Alameda County MAD,Mountain View Cemetery South,2020,5/5/20,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,2,abundance,783558,37.833775,-122.242474,37.833775,-122.242474
Alameda,Alameda County MAD,North Oakland Regional Sport Center,2016,5/31/16,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,1,abundance,213,37.85027,-122.22148,37.85027,-122.22148
Alameda,Alameda County MAD,Officers club,2015,4/17/15,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,5,abundance,17,37.788941,-122.29887,37.788941,-122.29887
Alameda,Alameda County MAD,Officers club,2015,6/26/15,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,2,abundance,17,37.788941,-122.29887,37.788941,-122.29887
Alameda,Alameda County MAD,Officers club,2015,6/5/15,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,2,abundance,17,37.788941,-122.29887,37.788941,-122.29887
Alameda,Alameda County MAD,Officers club,2015,7/14/15,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,1,abundance,17,37.788941,-122.29887,37.788941,-122.29887
Alameda,Alameda County MAD,Officers club,2016,6/2/16,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,12,abundance,17,37.788941,-122.29887,37.788941,-122.29887
Alameda,Alameda County MAD,Officers club,2018,5/23/18,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,2,abundance,17,37.788941,-122.29887,37.788941,-122.29887
Alameda,Alameda County MAD,OLD Alameda Creek Horse Stable MMT #2 location,2018,8/1/18,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,3,abundance,269173,37.56543,-122.07642,37.56543,-122.07642
Alameda,Alameda County MAD,Park Meadow Pond,2019,6/18/19,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,1,abundance,40,37.50956,-121.9311,37.50956,-121.9311
Alameda,Alameda County MAD,Park Meadow Pond,2019,7/23/19,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,1,abundance,40,37.50956,-121.9311,37.50956,-121.9311
Alameda,Alameda County MAD,Peralta Hacienda Park,2018,7/3/18,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,1,abundance,946246,37.78679,-122.2165,37.78679,-122.2165
Alameda,Alameda County MAD,Peralta Park,2016,6/2/16,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,1,abundance,1014,37.796828,-122.259118,37.796828,-122.259118
Alameda,Alameda County MAD,Peralta Park,2017,5/5/17,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,3,abundance,1014,37.796828,-122.259118,37.796828,-122.259118
Alameda,Alameda County MAD,Pleasanton Fairgrounds CB''s,2017,4/12/17,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,3,abundance,110,37.65986,-121.88716,37.65986,-121.88716
Alameda,Alameda County VCSD,Posen Street,2006,5/23/06,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,1,abundance,9,37.883914,-122.285445,37.883914,-122.285445
Alameda,Alameda County VCSD,Posen Street,2016,4/20/16,1,Carbon dioxide baited trap,FALSE,1,Females - Unfed,1,abundance,9,37.883914,-122.285445,37.883914,-122.285445
Alameda,Alameda County VCSD,Posen Street,2017,5/9/17,1,Carbon dioxide baited trap,FALSE,1,Females - Unfed,1,abundance,9,37.883914,-122.285445,37.883914,-122.285445
Alameda,Alameda County MAD,Ridge Top Pond,2017,5/10/17,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,1,abundance,94,37.69195,-122.05025,37.69195,-122.05025
Alameda,Alameda County MAD,Robertson Mobile Park (Del Valle Mobile home),2018,7/10/18,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,1,abundance,100075,37.67184,-121.76803,37.67184,-121.76803
Alameda,Alameda County MAD,S1101 MosswoodPk,2016,4/27/16,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,1,abundance,1101,37.823611,-122.261667,37.823611,-122.261667
Alameda,Alameda County MAD,S1101 MosswoodPk,2019,5/14/19,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,1,abundance,1101,37.823611,-122.261667,37.823611,-122.261667
Alameda,Alameda County MAD,S1101 MosswoodPk,2019,5/9/19,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,1,abundance,1101,37.823611,-122.261667,37.823611,-122.261667
Alameda,Alameda County MAD,S2162 Lake Merritt,2016,6/2/16,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,1,abundance,2162,37.806111,-122.256944,37.806111,-122.256944
Alameda,Alameda County MAD,S7042 Old Alameda Creek,2015,6/3/15,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,1,abundance,7042,37.574722,-122.016389,37.574722,-122.016389
Alameda,Alameda County MAD,Saint Mary''s College Albany,2020,7/2/20,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,1,abundance,729852,37.88245,-122.28373,37.88245,-122.28373
Alameda,Alameda County VCSD,Santa Fe,2006,5/12/06,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,2,abundance,4,37.897778,-122.288056,37.897778,-122.288056
Alameda,Alameda County VCSD,Santa Fe,2006,5/23/06,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,10,abundance,4,37.897778,-122.288056,37.897778,-122.288056
Alameda,Alameda County VCSD,Santa Fe,2014,5/8/14,1,Carbon dioxide baited trap,FALSE,1,Females - Unfed,1,abundance,4,37.897778,-122.288056,37.897778,-122.288056
Alameda,Alameda County VCSD,Santa Fe,2016,6/28/16,1,Carbon dioxide baited trap,FALSE,1,Females - Unfed,1,abundance,4,37.897778,-122.288056,37.897778,-122.288056
Alameda,Alameda County VCSD,Santa Fe,2017,6/20/17,1,Carbon dioxide baited trap,FALSE,1,Females - Unfed,1,abundance,4,37.897778,-122.288056,37.897778,-122.288056
Alameda,Alameda County MAD,Serenity Pond,2019,5/29/19,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,19,abundance,9187,37.68346,-121.93152,37.68346,-121.93152
Alameda,Alameda County MAD,Serenity Pond,2019,5/9/19,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,2,abundance,9187,37.68346,-121.93152,37.68346,-121.93152
Alameda,Alameda County MAD,Shadow Cliffs,2018,5/16/18,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,3,abundance,42,37.66932,-121.84377,37.6693,-121.84404
Alameda,Alameda County MAD,Shadow Cliffs,2018,7/12/18,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,1,abundance,42,37.66932,-121.84377,37.6693,-121.84404
Alameda,Alameda County MAD,Shadow Cliffs,2019,4/25/19,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,75,abundance,42,37.66932,-121.84377,37.6693,-121.84404
Alameda,Alameda County MAD,Shadow Cliffs,2019,5/29/19,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,5,abundance,42,37.66932,-121.84377,37.6693,-121.84404
Alameda,Alameda County MAD,Shadow Cliffs,2019,5/8/19,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,90,abundance,42,37.66932,-121.84377,37.6693,-121.84404
Alameda,Alameda County MAD,Shadow Cliffs,2020,5/6/20,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,1,abundance,42,37.66932,-121.84377,37.66932,-121.84377
Alameda,Alameda County MAD,Shadow Cliffs Pond,2017,4/11/17,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,1,abundance,200011,37.66893,-121.83328,37.66893,-121.83328
Alameda,Alameda County MAD,Shadow Cliffs Pond,2017,5/4/17,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,49,abundance,200011,37.66893,-121.83328,37.66893,-121.83328
Alameda,Alameda County MAD,Shannon Creek,2017,4/11/17,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,1,abundance,9004,37.71477,-121.94085,37.71477,-121.94085
Alameda,Alameda County MAD,Skywest Golf Course,2017,5/2/17,1,Carbon dioxide baited trap,FALSE,2,Females - Mixed,5,abundance,3025,37.663188,-122.143056,37.663188,-122.143056
Alameda,Alameda County MAD,Skywest Golf South East,2019,5/8/19,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,2,abundance,187271,37.66126,-122.13335,37.66126,-122.13335
Alameda,Alameda County VCSD,Spokane Dr,2007,5/15/07,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,2,abundance,2,37.898433,-122.293568,37.898433,-122.293568
Alameda,Alameda County VCSD,Spokane Dr,2020,5/13/20,1,Carbon dioxide baited trap,FALSE,1,Females - Unfed,1,abundance,2,37.898433,-122.293568,37.898433,-122.293568
Alameda,Alameda County VCSD,Spokane Dr,2020,5/27/20,1,Carbon dioxide baited trap,FALSE,1,Females - Unfed,1,abundance,2,37.898433,-122.293568,37.898433,-122.293568
